批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
0,MNH-0218S,0,785,0.0,0.0,280.0,1195.0
0,MNH-0218S,0,1613,280.0,0.0,38.0,1148.0
0,MNH-0218S,0,2506,318.0,0.0,340.0,1097.0
0,MNH-0218S,0,3839,658.0,0.0,340.0,1097.0
0,MNH-0218S,0,4747,998.0,0.0,340.0,1097.0
0,MNH-0218S,0,2895,1338.0,0.0,58.0,1092.0
0,MNH-0218S,0,4245,1396.0,0.0,58.0,1092.0
0,MNH-0218S,0,168,1454.0,0.0,280.0,880.0
0,MNH-0218S,0,4775,1734.0,0.0,280.0,880.0
0,MNH-0218S,0,2280,2014.0,0.0,280.0,881.0
0,MNH-0218S,0,2742,2294.0,0.0,58.0,881.0
0,MNH-0218S,0,3542,2352.0,0.0,58.0,881.0
0,MNH-0218S,1,817,0.0,0.0,359.0,1092.0
0,MNH-0218S,1,2384,359.0,0.0,359.0,1092.0
0,MNH-0218S,1,1168,718.0,0.0,340.0,1097.0
0,MNH-0218S,1,1473,1058.0,0.0,340.0,1097.0
0,MNH-0218S,1,1482,1398.0,0.0,340.0,1097.0
0,MNH-0218S,1,2128,1738.0,0.0,340.0,1097.0
0,MNH-0218S,1,2471,2078.0,0.0,340.0,1097.0
0,MNH-0218S,1,22,0.0,1097.0,48.0,121.0
0,MNH-0218S,1,1160,48.0,1097.0,48.0,121.0
0,MNH-0218S,2,3566,0.0,0.0,722.0,1002.0
0,MNH-0218S,2,4665,722.0,0.0,579.0,1002.0
0,MNH-0218S,2,4786,1301.0,0.0,579.0,1002.0
0,MNH-0218S,2,1794,1880.0,0.0,560.0,1002.0
0,MNH-0218S,2,4012,0.0,1002.0,2098.0,38.0
0,MNH-0218S,2,2971,0.0,1040.0,1697.0,58.0
0,MNH-0218S,3,3385,0.0,0.0,560.0,1002.0
0,MNH-0218S,3,831,560.0,0.0,475.0,994.0
0,MNH-0218S,3,1753,1035.0,0.0,380.0,998.0
0,MNH-0218S,3,4723,1415.0,0.0,380.0,998.0
0,MNH-0218S,3,916,1795.0,0.0,348.0,998.0
0,MNH-0218S,3,3723,2143.0,0.0,279.5,1001.0
0,MNH-0218S,3,4012,0.0,1002.0,2098.0,38.0
0,MNH-0218S,3,2971,0.0,1040.0,1697.0,58.0
0,MNH-0218S,4,3234,0.0,0.0,348.0,998.0
0,MNH-0218S,4,761,348.0,0.0,330.0,998.0
0,MNH-0218S,4,1037,678.0,0.0,330.0,998.0
0,MNH-0218S,4,2563,1008.0,0.0,330.0,998.0
0,MNH-0218S,4,4114,1338.0,0.0,330.0,998.0
0,MNH-0218S,4,2519,1668.0,0.0,299.0,1002.0
0,MNH-0218S,4,2661,1967.0,0.0,299.0,1002.0
0,MNH-0218S,4,2912,2266.0,0.0,58.0,1002.0
0,MNH-0218S,4,3582,2324.0,0.0,58.0,1002.0
0,MNH-0218S,5,1109,0.0,0.0,560.0,962.0
0,MNH-0218S,5,4398,560.0,0.0,540.0,962.0
0,MNH-0218S,5,1806,1100.0,0.0,528.0,962.0
0,MNH-0218S,5,3903,1628.0,0.0,528.0,962.0
0,MNH-0218S,5,4130,2156.0,0.0,88.0,962.0
0,MNH-0218S,5,1819,2244.0,0.0,83.0,962.0
