原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
YW10-0218S,0,523,0.0,0.0,58.0,1218.0
YW10-0218S,0,411,58.0,0.0,495.0,1194.0
YW10-0218S,0,36,553.0,0.0,370.0,1198.0
YW10-0218S,0,448,923.0,0.0,370.0,1198.0
YW10-0218S,0,593,1293.0,0.0,370.0,1198.0
YW10-0218S,0,692,1663.0,0.0,370.0,1198.0
YW10-0218S,1,3,0.0,0.0,702.0,1179.5
YW10-0218S,1,637,702.0,0.0,528.0,1172.5
YW10-0218S,1,59,1230.0,0.0,348.0,1128.0
YW10-0218S,1,199,1578.0,0.0,348.0,1128.0
YW10-0218S,1,686,1926.0,0.0,348.0,1128.0
YW10-0218S,1,170,0.0,1179.5,2393.0,38.0
YW10-0218S,2,93,0.0,0.0,571.0,1165.0
YW10-0218S,2,49,571.0,0.0,548.0,1159.0
YW10-0218S,2,161,1119.0,0.0,491.0,1165.0
YW10-0218S,2,96,1610.0,0.0,327.0,1162.0
YW10-0218S,2,759,1937.0,0.0,58.0,1165.0
YW10-0218S,2,630,0.0,1165.0,1968.0,55.0
YW10-0218S,3,94,0.0,0.0,930.0,1121.0
YW10-0218S,3,645,930.0,0.0,882.0,1120.5
YW10-0218S,3,748,1812.0,0.0,378.0,1080.0
YW10-0218S,3,73,0.0,1122.0,2388.0,98.0
YW10-0218S,4,310,0.0,0.0,729.0,1122.0
YW10-0218S,4,82,729.0,0.0,495.0,1024.0
YW10-0218S,4,443,1224.0,0.0,380.0,1028.0
YW10-0218S,4,19,0.0,1122.0,2078.0,98.0
YW10-0218S,5,69,0.0,0.0,1981.0,1063.0
YW10-0218S,5,282,1981.0,0.0,58.0,1048.0
YW10-0218S,5,452,0.0,1063.0,2328.5,153.5
YW10-0218S,6,494,0.0,0.0,1797.0,1007.0
YW10-0218S,6,208,1797.0,0.0,579.0,1012.0
YW10-0218S,6,177,2376.0,0.0,58.0,1012.0
YW10-0218S,6,41,0.0,1013.0,2198.0,198.0
YW10-0218S,6,87,2198.0,1013.0,177.0,197.5
YW10-0218S,7,531,0.0,0.0,984.0,1013.0
YW10-0218S,7,721,984.0,0.0,560.0,1011.0
YW10-0218S,7,631,1544.0,0.0,298.0,1008.0
YW10-0218S,7,648,1842.0,0.0,58.0,1012.0
YW10-0218S,7,297,1900.0,0.0,277.0,962.0
YW10-0218S,7,539,2177.0,0.0,250.0,958.0
YW10-0218S,7,362,0.0,1013.0,2196.0,58.0
YW10-0218S,7,545,0.0,1071.0,2196.0,58.0
YW10-0218S,7,13,0.0,1129.0,2161.0,58.0
YW10-0218S,8,72,0.0,0.0,866.0,998.0
YW10-0218S,8,606,866.0,0.0,558.0,992.0
YW10-0218S,8,376,1424.0,0.0,462.0,991.0
YW10-0218S,8,445,1886.0,0.0,462.0,991.0
YW10-0218S,8,61,0.0,1001.0,2367.0,218.0
YW10-0218S,8,591,2367.0,1001.0,58.0,217.0
YW10-0218S,9,428,0.0,0.0,360.5,996.5
YW10-0218S,9,467,360.5,0.0,310.0,997.0
YW10-0218S,9,468,670.5,0.0,310.0,997.0
YW10-0218S,9,308,980.5,0.0,310.0,998.0
YW10-0218S,9,398,1290.5,0.0,299.0,1001.0
YW10-0218S,9,187,1589.5,0.0,402.0,921.0
YW10-0218S,9,649,1991.5,0.0,58.0,918.0
YW10-0218S,9,12,2049.5,0.0,38.0,925.0
YW10-0218S,9,537,0.0,1001.0,2098.0,58.0
YW10-0218S,9,350,0.0,1059.0,2062.0,58.0
YW10-0218S,9,178,0.0,1117.0,2028.0,58.0
YW10-0218S,9,640,0.0,1175.0,2294.0,38.0
YW10-0218S,10,491,0.0,0.0,577.0,984.0
YW10-0218S,10,397,577.0,0.0,558.0,980.0
YW10-0218S,10,530,1135.0,0.0,174.0,981.0
YW10-0218S,10,683,1309.0,0.0,118.0,978.0
YW10-0218S,10,767,1427.0,0.0,98.0,984.0
YW10-0218S,10,348,1525.0,0.0,328.0,973.0
YW10-0218S,10,229,1853.0,0.0,297.0,971.0
YW10-0218S,10,182,0.0,984.0,1498.0,58.0
YW10-0218S,10,98,0.0,1042.0,1462.0,58.0
YW10-0218S,10,747,0.0,1100.0,1462.0,58.0
YW10-0218S,10,578,0.0,1158.0,1460.0,58.0
YW10-0218S,11,741,0.0,0.0,2251.0,956.0
YW10-0218S,11,158,2251.0,0.0,58.0,956.0
YW10-0218S,11,149,2309.0,0.0,58.0,950.0
YW10-0218S,11,30,0.0,962.0,1517.5,258.0
YW10-0218S,12,271,0.0,0.0,469.0,933.0
YW10-0218S,12,16,469.0,0.0,392.0,942.0
YW10-0218S,12,429,861.0,0.0,392.0,942.0
YW10-0218S,12,106,1253.0,0.0,369.0,935.5
YW10-0218S,12,267,1622.0,0.0,358.0,930.0
