原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
FMB-0215S,0,4417,0.0,0.0,2322.0,1050.0
FMB-0215S,0,5066,0.0,1050.0,594.5,168.5
FMB-0215S,0,4726,594.5,1050.0,575.5,168.5
FMB-0215S,0,4461,1170.0,1050.0,488.0,168.5
FMB-0215S,0,4936,1658.0,1050.0,487.5,168.5
FMB-0215S,1,4790,0.0,0.0,2055.0,1139.0
FMB-0215S,1,4630,0.0,1139.0,2415.0,80.0
FMB-0215S,2,4568,0.0,0.0,2301.0,967.0
FMB-0215S,2,4793,0.0,970.0,1778.5,220.0
FMB-0215S,2,4613,1778.5,970.0,328.0,220.0
FMB-0215S,2,4788,2106.5,970.0,328.0,220.0
FMB-0215S,3,5005,0.0,0.0,2188.0,970.0
FMB-0215S,3,4786,0.0,970.0,891.0,240.0
FMB-0215S,3,4851,891.0,970.0,733.0,237.0
FMB-0215S,3,4462,1624.0,970.0,523.5,239.0
FMB-0215S,3,4716,2147.5,970.0,282.0,233.0
FMB-0215S,4,5106,0.0,0.0,2201.0,946.0
FMB-0215S,4,4522,0.0,946.0,616.0,273.0
FMB-0215S,4,4541,616.0,946.0,616.0,273.0
FMB-0215S,4,4957,1232.0,946.0,616.0,273.0
FMB-0215S,4,4970,1848.0,946.0,348.0,273.0
FMB-0215S,5,4737,0.0,0.0,2055.0,1004.0
FMB-0215S,5,4431,0.0,1004.0,744.0,214.0
FMB-0215S,5,4411,744.0,1004.0,281.0,214.0
FMB-0215S,5,4434,1025.0,1004.0,695.0,204.0
FMB-0215S,5,4862,1720.0,1004.0,278.0,205.0
FMB-0215S,6,4728,0.0,0.0,1182.0,898.0
FMB-0215S,6,4514,1182.0,0.0,1105.5,900.0
FMB-0215S,6,5069,0.0,900.0,798.0,317.6
FMB-0215S,6,4490,798.0,900.0,798.0,318.0
FMB-0215S,6,4561,1596.0,900.0,425.0,317.5
FMB-0215S,6,4551,2021.0,900.0,347.0,317.5
FMB-0215S,7,5024,0.0,0.0,2356.0,862.0
FMB-0215S,7,4508,0.0,866.0,1236.0,348.0
FMB-0215S,7,5034,1236.0,866.0,768.5,350.5
FMB-0215S,7,4845,2004.5,866.0,434.5,350.0
