原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
mixed,0,36160,0.0,0.0,578.0,1180.0
mixed,0,35906,578.0,0.0,598.0,1168.0
mixed,0,35706,1176.0,0.0,378.0,1160.0
mixed,0,36022,1554.0,0.0,357.0,1162.0
mixed,0,35716,1911.0,0.0,48.0,1163.0
mixed,0,35642,1959.0,0.0,377.0,1148.0
mixed,0,36163,0.0,1180.0,2402.0,38.0
mixed,1,35649,0.0,0.0,487.0,1132.0
mixed,1,36216,487.0,0.0,487.0,1132.0
mixed,1,35587,974.0,0.0,387.0,1122.0
mixed,1,35949,1361.0,0.0,377.0,1120.0
mixed,1,36231,1738.0,0.0,302.0,1127.0
mixed,1,35957,2040.0,0.0,297.0,1097.0
mixed,1,35691,2337.0,0.0,83.0,1072.0
mixed,1,35867,0.0,1132.0,2158.0,58.0
mixed,2,35558,0.0,0.0,538.0,1113.0
mixed,2,35631,538.0,0.0,394.5,1090.0
mixed,2,36033,932.5,0.0,294.0,1088.0
mixed,2,35952,1226.5,0.0,131.5,1060.0
mixed,2,35601,1358.0,0.0,58.0,1060.0
mixed,2,36112,1416.0,0.0,858.0,1007.0
mixed,2,35916,0.0,1113.0,1557.5,58.0
mixed,2,35565,0.0,1171.0,1319.5,48.0
mixed,3,36128,0.0,0.0,661.5,1023.0
mixed,3,35768,661.5,0.0,549.0,1028.5
mixed,3,35795,1210.5,0.0,549.0,1028.5
mixed,3,35612,1759.5,0.0,530.0,1027.5
mixed,3,36189,0.0,1028.5,48.0,175.0
mixed,3,35767,48.0,1028.5,2178.0,173.0
mixed,4,35811,0.0,0.0,1901.0,998.0
mixed,4,36162,1901.0,0.0,408.0,997.0
mixed,4,35885,2309.0,0.0,38.0,998.0
mixed,4,35999,0.0,998.0,48.0,221.0
mixed,5,35927,0.0,0.0,512.0,991.0
mixed,5,35920,512.0,0.0,880.0,962.0
mixed,5,35822,1392.0,0.0,447.0,941.0
mixed,5,36154,1839.0,0.0,447.0,941.0
mixed,5,35889,0.0,991.0,48.0,201.0
mixed,5,36312,48.0,991.0,48.0,201.0
mixed,6,35806,0.0,0.0,470.0,978.0
mixed,6,36201,470.0,0.0,410.0,980.0
mixed,6,36305,880.0,0.0,394.0,978.0
mixed,6,35903,1274.0,0.0,383.0,969.0
mixed,6,35605,1657.0,0.0,380.0,978.0
mixed,6,35709,2037.0,0.0,380.0,978.0
mixed,6,35889,0.0,980.0,48.0,201.0
mixed,6,35794,0.0,1181.0,2398.0,38.0
mixed,7,36296,0.0,0.0,1931.0,978.0
mixed,7,35625,1931.0,0.0,480.0,974.0
mixed,7,36312,0.0,978.0,48.0,201.0
mixed,8,35981,0.0,0.0,1863.0,981.0
mixed,8,35996,1863.0,0.0,548.0,978.0
mixed,8,35999,0.0,981.0,48.0,221.0
mixed,9,35909,0.0,0.0,880.0,970.0
mixed,9,35978,880.0,0.0,868.0,973.0
mixed,9,35557,1748.0,0.0,579.0,972.0
mixed,9,35721,2327.0,0.0,58.0,972.0
mixed,9,36312,0.0,973.0,48.0,201.0
mixed,10,35736,0.0,0.0,380.0,978.0
mixed,10,35917,380.0,0.0,380.0,978.0
mixed,10,36059,760.0,0.0,358.0,969.0
mixed,10,36086,1118.0,0.0,358.0,969.0
mixed,10,35589,1476.0,0.0,343.5,984.0
mixed,10,36146,1819.5,0.0,343.0,973.0
mixed,10,36140,2162.5,0.0,58.0,972.0
mixed,10,35946,2220.5,0.0,58.0,978.0
mixed,10,35579,2278.5,0.0,58.0,981.0
mixed,10,35889,0.0,984.0,48.0,201.0
mixed,11,36079,0.0,0.0,1951.0,951.0
mixed,11,35853,1951.0,0.0,422.0,950.0
mixed,11,35756,2373.0,0.0,58.0,947.0
mixed,11,35999,0.0,951.0,48.0,221.0
mixed,12,36245,0.0,0.0,1951.0,951.0
mixed,12,35936,1951.0,0.0,298.0,936.0
mixed,12,35941,0.0,951.0,227.5,241.0
mixed,13,35752,0.0,0.0,607.0,951.0
mixed,13,36176,607.0,0.0,607.0,951.0
mixed,13,35698,1214.0,0.0,509.5,947.0
mixed,13,35801,1723.5,0.0,147.0,925.0
mixed,13,36089,1870.5,0.0,130.0,927.0
mixed,13,36056,2000.5,0.0,128.0,924.0
mixed,13,35644,2128.5,0.0,58.0,925.0
mixed,13,36155,2186.5,0.0,58.0,925.0
mixed,14,36145,0.0,0.0,752.0,907.0
mixed,14,36049,752.0,0.0,549.0,904.0
mixed,14,35591,1301.0,0.0,308.0,909.5
mixed,14,35738,1609.0,0.0,678.0,785.0
mixed,14,35961,0.0,909.5,298.0,308.0
mixed,14,35739,298.0,909.5,277.5,306.0
