原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
ZQB-0218S,0,30524,0.0,0.0,2101.0,1151.0
ZQB-0218S,0,30726,0.0,1151.0,1833.0,58.0
ZQB-0218S,0,30873,1833.0,1151.0,595.0,58.0
ZQB-0218S,1,30909,0.0,0.0,2341.0,927.0
ZQB-0218S,1,30918,0.0,927.0,562.0,278.0
ZQB-0218S,1,30683,562.0,927.0,412.0,280.0
ZQB-0218S,1,30318,974.0,927.0,403.0,278.0
ZQB-0218S,1,30723,1377.0,927.0,403.0,278.0
ZQB-0218S,1,30372,1780.0,927.0,402.0,278.0
ZQB-0218S,2,30968,0.0,0.0,2396.0,847.0
ZQB-0218S,2,30487,0.0,847.0,1297.0,358.0
ZQB-0218S,2,30251,1297.0,847.0,1136.0,361.0
ZQB-0218S,3,30538,0.0,0.0,2001.0,942.0
ZQB-0218S,3,30311,0.0,942.0,489.0,259.0
ZQB-0218S,3,30977,489.0,942.0,489.0,259.0
ZQB-0218S,3,30320,978.0,942.0,460.0,258.0
ZQB-0218S,3,30620,1438.0,942.0,362.0,259.0
ZQB-0218S,3,30386,1800.0,942.0,262.0,257.0
ZQB-0218S,3,31017,2062.0,942.0,375.0,111.0
ZQB-0218S,4,30702,0.0,0.0,1367.0,742.0
ZQB-0218S,4,30813,1367.0,0.0,1032.0,744.5
ZQB-0218S,4,30521,0.0,744.5,1503.0,458.0
ZQB-0218S,4,30350,1503.0,744.5,844.5,461.0
ZQB-0218S,5,30453,0.0,0.0,2281.0,736.0
ZQB-0218S,5,30445,0.0,736.0,942.0,482.5
ZQB-0218S,5,30465,942.0,736.0,942.0,482.5
ZQB-0218S,5,30230,1884.0,736.0,519.0,478.0
ZQB-0218S,6,30882,0.0,0.0,2306.0,720.0
ZQB-0218S,6,30450,0.0,720.0,1428.0,498.0
ZQB-0218S,6,30238,1428.0,720.0,998.0,498.0
ZQB-0218S,7,30984,0.0,0.0,1701.5,960.0
ZQB-0218S,7,30377,1701.5,0.0,706.0,589.0
ZQB-0218S,7,30676,0.0,961.0,2173.0,248.0
ZQB-0218S,8,30573,0.0,0.0,1951.0,810.0
ZQB-0218S,8,30490,0.0,812.0,1941.0,399.0
ZQB-0218S,8,30414,1941.0,812.0,498.0,398.0
ZQB-0218S,9,30542,0.0,0.0,1037.5,812.0
ZQB-0218S,9,30621,1037.5,0.0,906.5,810.0
ZQB-0218S,9,30942,0.0,812.0,1438.0,398.0
ZQB-0218S,9,30839,1438.0,812.0,998.0,398.0
ZQB-0218S,10,30878,0.0,0.0,2026.0,754.0
ZQB-0218S,10,30766,0.0,754.0,1000.0,454.5
ZQB-0218S,10,30829,1000.0,754.0,821.0,462.0
ZQB-0218S,10,30696,1821.0,754.0,601.5,455.0
ZQB-0218S,11,30574,0.0,0.0,2301.0,662.0
ZQB-0218S,11,30508,0.0,662.0,1497.5,548.0
ZQB-0218S,11,30842,1497.5,662.0,873.0,545.0
ZQB-0218S,12,30333,0.0,0.0,1062.0,699.0
ZQB-0218S,12,30932,1062.0,0.0,1062.0,699.0
ZQB-0218S,12,30789,0.0,699.0,854.0,495.0
ZQB-0218S,12,30988,854.0,699.0,854.0,495.0
ZQB-0218S,12,30825,1708.0,699.0,563.0,499.0
ZQB-0218S,13,30612,0.0,0.0,1931.0,762.0
ZQB-0218S,13,30205,0.0,763.0,818.0,438.0
ZQB-0218S,13,30979,818.0,763.0,803.0,439.0
ZQB-0218S,13,30875,1621.0,763.0,736.0,439.0
ZQB-0218S,14,30329,0.0,0.0,1918.5,763.0
ZQB-0218S,14,30279,0.0,763.0,1273.0,428.0
ZQB-0218S,14,30443,1273.0,763.0,1098.0,428.0
ZQB-0218S,15,30390,0.0,0.0,867.0,579.0
ZQB-0218S,15,30543,867.0,0.0,819.0,577.0
ZQB-0218S,15,30783,1686.0,0.0,753.0,578.0
ZQB-0218S,15,30610,0.0,580.0,2438.0,580.0
ZQB-0218S,15,30701,0.0,1160.0,1560.0,58.0
ZQB-0218S,15,30427,1560.0,1160.0,877.0,58.0
ZQB-0218S,16,30358,0.0,0.0,1598.0,598.0
ZQB-0218S,16,30553,1598.0,0.0,752.0,597.0
ZQB-0218S,16,30302,0.0,598.0,1222.0,575.0
ZQB-0218S,16,30732,1222.0,598.0,1198.0,578.0
ZQB-0218S,16,30325,0.0,1178.0,1238.0,38.0
ZQB-0218S,16,30334,1238.0,1178.0,1198.0,38.0
ZQB-0218S,17,30235,0.0,0.0,1647.0,579.0
ZQB-0218S,17,30253,1647.0,0.0,763.0,577.0
ZQB-0218S,17,30549,0.0,580.0,1647.0,579.0
ZQB-0218S,17,30399,1647.0,580.0,762.0,577.0
ZQB-0218S,17,30514,0.0,1160.0,1663.0,58.0
ZQB-0218S,17,30785,1663.0,1160.0,769.0,58.0
ZQB-0218S,18,30908,0.0,0.0,1532.0,577.0
ZQB-0218S,18,30644,1532.0,0.0,868.0,577.0
ZQB-0218S,18,30855,0.0,580.0,2398.0,578.0
ZQB-0218S,18,30727,0.0,1160.0,942.0,58.0
ZQB-0218S,18,30728,942.0,1160.0,942.0,58.0
ZQB-0218S,18,30356,1884.0,1160.0,547.0,58.0
ZQB-0218S,19,30848,0.0,0.0,868.0,577.0
ZQB-0218S,19,30395,868.0,0.0,868.0,579.0
ZQB-0218S,19,30353,1736.0,0.0,660.0,574.0
ZQB-0218S,19,30715,0.0,580.0,2383.0,580.0
